Local time,Open,High,Low,Close,Volume
13.09.2018 09:00:00.000 GMT-0400,183.638,184.788,183.628,184.208,19.5541
13.09.2018 10:00:00.000 GMT-0400,184.217,184.688,183.668,184.068,36.0186
13.09.2018 11:00:00.000 GMT-0400,184.078,184.728,183.887,184.677,25.4386
13.09.2018 12:00:00.000 GMT-0400,184.678,184.848,184.457,184.538,19.7708
13.09.2018 13:00:00.000 GMT-0400,184.527,184.578,184.207,184.358,16.9441
13.09.2018 14:00:00.000 GMT-0400,184.347,184.598,184.007,184.447,19.9628
13.09.2018 15:00:00.000 GMT-0400,184.448,184.468,184.037,184.427,19.5047
13.09.2018 16:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 17:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 18:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 19:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 20:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 21:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 22:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
13.09.2018 23:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 00:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 01:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 02:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 03:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 04:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 05:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 06:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 07:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 08:00:00.000 GMT-0400,184.427,184.427,184.427,184.427,0
14.09.2018 09:00:00.000 GMT-0400,184.638,184.907,184.188,184.628,18.6153
14.09.2018 10:00:00.000 GMT-0400,184.627,184.928,184.207,184.667,29.8223
14.09.2018 11:00:00.000 GMT-0400,184.658,184.738,184.297,184.427,23.6916
14.09.2018 12:00:00.000 GMT-0400,184.428,184.458,183.348,183.627,29.1053
14.09.2018 13:00:00.000 GMT-0400,183.628,184.018,183.247,183.988,20.3538
14.09.2018 14:00:00.000 GMT-0400,183.997,184.108,183.867,183.987,17.4567
14.09.2018 15:00:00.000 GMT-0400,183.987,184.218,183.868,183.977,20.4439
14.09.2018 16:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 17:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 18:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 19:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 20:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 21:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 22:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
14.09.2018 23:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 00:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 01:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 02:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 03:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 04:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 05:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 06:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 07:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 08:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 09:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 10:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 11:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 12:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 13:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 14:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 15:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 16:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 17:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 18:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 19:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 20:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 21:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 22:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
15.09.2018 23:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 00:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 01:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 02:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 03:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 04:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 05:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 06:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 07:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 08:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 09:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 10:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 11:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 12:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 13:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 14:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 15:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 16:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 17:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 18:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 19:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
